,sentences
88,Follow me in case you got further queries.
108,"Take milkshakes, lassi, protein supplements after your exercise."
220,"Then about three months ago, I watched something inappropriate and I ejaculated without doing anything."
377,His appetite is good.
429,A total of six maybe and one glass and a half on day 20.
439,"Also, the Flucloxacillin is a penicillin group of drug which is usually safe in pregnancy."
446,Please consult your gynecologist for your antenatal checkup and investigations required to be taken as per your local protocols.
478,As you already have viral etiologies excluded this is time to look for other things which could lead to persistent elevation of the liver enzymes.
487,Hemochromatosis.
503,"In the morning, I take Gemer DS 2 and after breakfast, I take 12 mg Jardiance."
662,"now the treatment part, no role of antibiotics now as there is no active pus discharge one thing that can be done is scraping of the dead floor and margins of ulcer so healing will fasten.it can be done by local surgeon also."
666,I am almost three months late for my period and do not know what to do.
683,"Now in cardiac pain, the pain usually occurs on exertion and relieves with rest."
808,My brother has swelling on his left foot.
823,What medications he is on?
842,Well the pain which comes in or worsen after doing physical movements is highly likely secondary to muscle and bone related.
947,"Chronic hepatitis B, HBeAg positive disease."
991,Base on your findings it might be a lump of fat cells that formed.
1046,I hope I have answered your query in detail.
1209,What is missing in the follicular monitoring profile of the dummy cycle and also your husband's semen analysis test?
1237,"So use the tablet Cyclopam (Dicyclomine and Paracetamol) twice a day for five days, Ofloxacin and Ornidazole twice a day for five days after food, tablet Pantoprazole before breakfast for one week."
1247,"Strenuous work, stressful life, dehydration, anxieties, tension, common cold, allergies, low glucose sugar level, etc., can cause headaches."
1268,What does the problem sound like to you?
1340,Lastly biofeedback therapy which is a computerized software which help him to control his anal sphincter while passing urine or otherwise.
1344,Stop or reduce alcohol intake if taking.
1387,Usually tri dot HIV test is able to rule out HIV after six weeks of exposure.
1426,Is it fine for me to go to my work place (I am a pathologist have to sit for three to four hours only)?
1473,"I sometimes get chest pain but I usually attribute this to my stomach or anxiety, and the chest pain does not tend to accompany the heart palpitation."
1474,My main worry is it is quite regularly happening and it is one singular beat which is ‘off’.
1499,"As you have caries and sensitivity associated, you might not necessarily need an extraction."
1555,"Now, if we assume that it could be because of a physical problem, the child will have to be examined."
1589,please feel free to revert back anytime with any further queries.
1608,Age: 19
1721,I have been experiencing acid problems.
1731,Eat less quantity of food every time than before.
1737,Also add one more drug Levosulpiride for 15 days.
1864,She is diabetic and has hypertension too.
1956,"If there is pain or discomfort hampering routine activities like chewing or talking, a topical formulation like an antiseptic coupled with an analgesic gel can be applied to the ulcer directly for symptomatic relief."
1957,"Also, a nutritional supplement rich in B-complex vitamins is prescribed to promote healing."
1966,Daily intake of at least three to four liters of water.
1970,"Use of interdental floss to clean the surfaces, spaces and contacts between the teeth."
1973,A periodic check up with your dentist once every six months.
2010,Stress?
2061,"Take tablet Amoxiclav (Amoxicillin and Clavulanic acid) 625 mg one tablet twice daily for five days, Zerodol SP (Aceclofenac, Paracetamol, and Serratiopeptidase) one tablet twice daily for five days, capsule Pan D (Pantoprazole) twice daily before meals for five days, Betadine mouthwash gargle in lukewarm water."
2067,Treatment was not done properly.
2087,Now absolute voice rest means you should not even be saying yes/no during the day.
2126,I cannot really see anything at this point.
2203,One suggested Gabapentin and another Sibelium 10 mg once a day at night for a month.
2207,The differential diagnosis for your problem would be as follows.
2227,"Can you advise why my serum iron is not increasing, though my Hb is 11.9?"
2254,I had not experienced breathing issue prior to this and it recently occurred just two weeks ago.
2267,"If there is fluid around the testis, then it can be removed by surgery."
2295,For further doubts consult a dermatologist online --> https://www.icliniq.com/ask-a-doctor-online/dermatologist
2441,I done kshala sutra treatment for fistula .But iam getting pus from that wound from last 10 days continuously.surgery was done 15 days back.
2487,He does not like to wear mask and thinks it is funny when he coughs or sneezes around me.
2499,"Tablet Levocetirizine every night 1/2 hour before sleeping, Flomist Nasal Spray twice daily in both nostrils, Diluted Povidone Iodine gargles 3 times daily, Syrup Macbery cough syrup 5 mL twice a day."
2520,Acknowledge that this is common emotion and you will try your level best to overcome it.
2563,"Lysozyme * 674 ≤ 500 ng/mL, Butyrate‡ 4.5 0.8 – 4.0 mg/mL, Total SCFA's‡ 17 5.0 – 16.0 mg/mL, Occult Blood Positive Negative."
2578,"My question is, do I need crutches?"
2591,I have a history of plaque formation on teeth even before pregnancy.
2622,Should I be concerned?
2711,I had runny nose 2 weeks back but not so much and now that is also gone.
2712,So no runny nose as of now .
2725,Following are the measures to control BP: 1.
2846,I am worried about the side effects of diuretics on the kidney.
2854,It occurs in different spots on both calves.
2861,"This has resulted in two major falls, which resulted in trauma."
2965,I have PCOS and have been trying to conceive for four months.
2985,I observed the presence of vaginal discharge almost a month ago and I went for a test.
3004,And i visited a doctor and the medicine i used had cured me.
3225,I want to add some medications that are given below.
3283,So do not worry about it.
3397,My question is should I be taking DOGMATIL 50mg?
3401,Duspatalin however can be used and very well tolerated among IBS patients.
3414,But not to worry.
3463,"Also, do I need to be concerned about prostate cancer?"
3532,"Next apply the Lox-2% (Lignocaine hydrochloride) cream (opaque) and not gel, as gel does not get absorbed and the cream crosses the skin."
3550,Follow up with complete liver function tests.
3610,Avoid pickles and papads.
3889,"Decision to work in COVID 19 pandemic depends on the place you stay, the number of cases you have around, the safety environment of your office and so on."
3892,"Hello, due to the pandemic I'm not allowed to visit a dermatologist in person."
3978,Chest x-ray is normal.
3995,Place a sterile cotton in the ear entrance of the ear canal and change the cotton every 6 hrs.
4057,My mother is having lower hip side pain for almost a week now.
4079,I would like to know how it started and progressed in detail.
4175,Please send me the pictures and let me help further.
4204,Prescribed Cephalexin and Percocet I went home for recovery.
4212,Did you land on head or abdomen during fall?
4222,Genital molluscum is considered to be a marker of HIV infection.
4229,There is no wound in his umbilical cord.
4257,"Throughout this period, the muscle spasms/contractions(continuous)were covering all the back and front neck muscles at the same time."
4274,You have said you were having hyperthyroidism and after medication you got recovered.
4321,My serum creatinine is 1.17 and I am taking blood pressure and diabetes tablets.
4358,"Last month, I had a bad episode of GERD and was prescribed Pantoprazole for a month."
4410,I see that your previous cycles have been regular but this time you had a delayed cycle which is the first time you observed this.
4497,"Also, I have chronic persistent fatigue and occasional non-specific itching."
4518,"During the said period I get muscle stiffness, cramps and depression."
4561,I have PCOS since I was young.
4618,"Also, there is a large floating pocket probable hematoma."
4657,She has cough since last five days.
4853,"Loose stools are said when stool volume is more than 200 ml in a day, semisolid to liquid in consistency."
4959,Any history of any medicine taken recently for some other issues?
5015,Provide pictures.
5082,Have regular exercises like brisk walking or running according to the capacity for atleast 30 minutes a day.
5105,"For in-between snacks, you can eat fruits, buttermilk (include every day), protein powder in the evening, channa, etc."
5135,If you have swelling of moderate type then put splint for 10-14 days and convert to cast.
5147,"Hello , I am sorry to hear about your situation."
5159,Last time i visited dentist...i had a root canal same side
5255,"If the clinical features such as difficulty in deglutition, difficulty in breathing, breathing difficulty during sleeping, pain radiating to ear, etc., occur consider as a medical emergency and consult with an ENT specialist for tonsillectomy."
5269,I felt only temporary relief.
5440,If I have caused a hiatal hernia will it stay forever?
5550,Is there anyway that a CT scan can determine whether an enlarged lymph node is benign or malignant?
5563,Dentist was schedule to treat it next week after inflammation is better.
5599,Could this just be early pregnancy?
5672,I also have some throat and chest pain.
5735,"Even if you miss a single pill, the chance of pregnancy is very remote."
5800,Revert back with the reports to a general medicine physician online --> https://www.icliniq.com/ask-a-doctor-online/general-medicine-physician
5848,First it was around my genitals and hips but now it is on my hips only.
5873,Many a times the minimal bleeding or spotting could be either due to local genital infections or some ulcers or trauma.
5890,Drink lot of water.
5935,I have gone through your history and understand your concern.
5947,"I was diagnosed with lupus as a teenager but then in early 20s, I was told that I do not have it."
5997,What do I have to do?
6000,I think it is due to any blunt trauma to the eye.
6076,Do I have to quit drinking?
6129,The treatment is according to the cause.
6137,My problem is excess night fall as I am masturbating since around the age of 13-14.
6224,"Yes, this pandemic is causing a lot of stress in everybody is mind."
6353,Can I treat it myself if it needs treatment?
6441,"Do you have noticed any triggers (diets, stress, change in lifestyle, or drinking alcohol ) before such episodes?"
6456,Eosinophilic gastroenteritis.
6482,"Now if you are very sure that it has gone more red after the oil has entered it then also in the absence of other symptoms, you do not need any treatment for it."
6496,There is no specific food for immunity.
6549,I have read that metformin 500is recalled due to cancer scare.
6574,Hope I was able to suggest few helpful information to accelerate your healing.
6639,"For tinnitus, use resound relief app which has so many natural sound combos."
6656,"Or one should have to have evidence that the weight loss was due to gallbladder dyskinesia and not otherwise, then surgery was probably the right decision."
6823,It is now becoming hard for me to stand or be on my feet a long time .
6839,Often taking 4x 30/500mg several times a day.
6848,Now the pain you mention which has started nearly at the time of stop of these medicines; suggest Narocotic bowel syndrome (NBS).
6880,"If there is anything more you want to know, please do inform me."
6887,I am wondering if the results I get in a week's time will be accurate?
6897,"I am worried about possible ovarian cancer as three of my aunts had it, my mom and five aunts had breast cancer and my grandma died of peritoneal cancer of ovarian origin."
7055,Since then I have had two episodes of severe pain in my lower back right side (sacroiliac joint).
7088,How is your sleep?
7123,It will get cleared but can reappear.
7140,"Do not worry, your symptoms particularly relating to food connects your chest pain to a gastric related problem."
7141,"And it fits into GERD (gastroesophageal reflux disease) in which there will be acid reflux, which in turn causes pain due to intolerance of food pipe to the acid."
7182,Your symptoms seem to be due to reflux laryngitis and not due to the growth.
7212,Is there any color change over the lump or redness or pain over the lump?
7267,Within how many minutes to hours of getting up in the morning you start feeling lesser stiffness?
7290,I have a painful lump on my perianal area.
7299,Hello!one day when I masturbated my right testicle went up and at the same time I felt a burning in the perineal area.
7339,"If you are anxious, you need to overcome that too."
7390,I have high levels of prolactin.
7430,"It is not running down my cheek, but does feel a bit more watery."
7435,Could right eye a bit more sensitive than the left?
7610,"If the lesion is persistent or it increases in size, excision of the same is recommended."
7635,"Regarding your urine culture, it would be advisable to check if you had given the sample prior to starting the antibiotics course, as once you start the antibiotics and then submit the sample it may not show any bacterial growth on culture , plus you are likely to develop Antibiotics resistance infection because of inappropriate antibiotics."
7642,- Syrup Citralka 2tsp thrice daily in half glass water when there is burning.
7648,"I am having cramps after having orgasm, very uncomfirtable feeling in my lower body."
7653,"Based on your symptoms, it appears you are suffering from genital tract infection."
7685,These days I cannot go to my doctor due to lockdown.
7711,Avoid wool and strong soaps.
7810,"I have tried Epsom salt baths, Ibuprofen, etc."
7820,Serum lipid profile.
7894,I recommend you do testosterone therapy (TRT).
7955,Thyroid gland destroyed by Radioactive Iodine 14 years ago.
8036,This is happening form yesterday.
8051,I also had a colonoscopy and it showed clear.
8070,Your disease seems to be controlled with Budesonide or previous Mesalamine you took.
8071,"The mucus/pus discharge suggests that there may be some other problem such as anal fissure, anal fistula, or anal sinus which may accompany the ulcerative colitis in its course."
8150,Bronchial Asthma (Formoterol 6 mcg + Budesonide 200 mcg) Inahaler with spacer 2 puffs twice daily and can be taken up to 4 times daily if required.
8154,My father is 68 years old.
8161,He has hiccups while taking food or water.
8183,"Good nutrition diet, regular exercises, quit smoking if doing are the basic ways."
8201,"I am 18 and female, also sorry about the long list."
8206,I suggest you to maintain a journal where you document about the events which have been troubling you and then you can discuss with me about specific events so that psychotherapy can be started to help you.
8229,She has got RA factor 150 and no other problem in blood reports.
8264,If not possible let it be as placed it might fall off itself seeing the condition.
8293,I have a septal deviations on my right side 1mm can that be the reason
8390,I have been in perfect shape for a while.
8506,"Till now, I did not observe any change."
8546,I have had good skin for all my life.
